"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"positive-convergence-time"
"06/09/2026 15:51:18:978 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","ticks","mean-opinion","sd-opinion"
"166","100000","0.2","10","0","pos","99999","100000","0.09768405252037451","0.0412072316087949"
"168","100000","0.2","10","0","pos","99999","100000","0.1013797736541714","0.042198263526151095"
"167","100000","0.2","10","0","pos","99999","100000","0.09458791608227571","0.05439808798479059"
"169","100000","0.2","10","0","pos","99999","100000","0.10077293459965093","0.05012234261246692"
"170","100000","0.2","10","0","pos","99999","100000","0.09586831054288394","0.047832054527116606"
"171","100000","0.2","10","0","pos","99999","100000","0.1099509386186804","0.045614237364569085"
"172","100000","0.2","10","0","pos","99999","100000","0.11348927083803119","0.05175596281917108"
"173","100000","0.2","10","0","pos","99999","100000","0.10932654733287288","0.03316355913048335"
"174","100000","0.2","10","0","pos","99999","100000","0.10577161007748143","0.05506563935612463"
"175","100000","0.2","10","0","pos","99999","100000","0.11076776283006805","0.04796983050053049"
"176","100000","0.2","10","0","pos","99999","100000","0.10410539716025022","0.054546894492158306"
"177","100000","0.2","10","0","pos","99999","100000","0.11159755545894391","0.059029256438279866"
"178","100000","0.2","10","0","pos","99999","100000","0.10586393502863539","0.026668983127211734"
"179","100000","0.2","10","0","pos","99999","100000","0.08930036025555907","0.03703782386767533"
"180","100000","0.2","10","0","pos","99999","100000","0.09341982409463406","0.038017171031122524"
"181","100000","0.2","20","0","pos","99999","100000","0.10386256438419147","0.02872337423805603"
"182","100000","0.2","20","0","pos","99999","100000","0.11456374068914052","0.04470578720464231"
"184","100000","0.2","20","0","pos","99999","100000","0.12266420724755078","0.0299800672169157"
"183","100000","0.2","20","0","pos","99999","100000","0.12619174080026452","0.03532487980352283"
"186","100000","0.2","20","0","pos","99999","100000","0.11621844708507359","0.060888946686275904"
"185","100000","0.2","20","0","pos","99999","100000","0.09471292956275151","0.03696350030713844"
"187","100000","0.2","20","0","pos","99999","100000","0.09997854179718155","0.021864885797981418"
"188","100000","0.2","20","0","pos","99999","100000","0.11173020624848795","0.023080860011033568"
